x, y, vx, vy
-83.0486, 110.057, -6.08264, -6.08264
-83.079, 110.098, -6.08265, -6.08265
-83.1095, 110.138, -6.08267, -6.08267
-83.1399, 110.179, -6.08268, -6.08268
-83.1703, 110.219, -6.0827, -6.0827
-83.2007, 110.26, -6.08272, -6.08272
-83.2311, 110.301, -6.08273, -6.08273
-83.2615, 110.341, -6.08275, -6.08275
-83.2919, 110.382, -6.08276, -6.08276
-83.3223, 110.422, -6.08278, -6.08278
-83.3527, 110.463, -6.08279, -6.08279
-83.3831, 110.504, -6.08281, -6.08281
-83.4136, 110.544, -6.08283, -6.08283
-83.444, 110.585, -6.08284, -6.08284
-83.4744, 110.625, -6.08286, -6.08286
-83.5048, 110.666, -6.08287, -6.08287
-83.5352, 110.707, -6.08289, -6.08289
-83.5656, 110.747, -6.0829, -6.0829
-83.596, 110.788, -6.08292, -6.08292
-83.6264, 110.828, -6.08294, -6.08294
-83.6569, 110.869, -6.08295, -6.08295
-83.6873, 110.91, -6.08297, -6.08297
-83.7177, 110.95, -6.08298, -6.08298
-83.7481, 110.991, -6.083, -6.083
-83.7785, 111.031, -6.08301, -6.08301
-83.809, 111.072, -6.08303, -6.08303
-83.8394, 111.113, -6.08305, -6.08305
-83.8698, 111.153, -6.08306, -6.08306
-83.9002, 111.194, -6.08308, -6.08308
-83.9306, 111.234, -6.08309, -6.08309
-83.961, 111.275, -6.08311, -6.08311
-83.9915, 111.316, -6.08312, -6.08312
-84.0219, 111.356, -6.08314, -6.08314
-84.0523, 111.397, -6.08316, -6.08316
-84.0827, 111.437, -6.08317, -6.08317
-84.1131, 111.478, -6.08319, -6.08319
-84.1436, 111.519, -6.0832, -6.0832
-84.174, 111.559, -6.08322, -6.08322
-84.2044, 111.6, -6.08323, -6.08323
-84.2348, 111.64, -6.08325, -6.08325
-84.2652, 111.681, -6.08326, -6.08326
-84.2956, 111.722, -6.08328, -6.08328
-84.3261, 111.762, -6.08329, -6.08329
-84.3565, 111.803, -6.08331, -6.08331
-84.3869, 111.843, -6.08332, -6.08332
-84.4173, 111.884, -6.08334, -6.08334
-84.4477, 111.925, -6.08335, -6.08335
-84.4782, 111.965, -6.08337, -6.08337
-84.5086, 112.006, -6.08338, -6.08338
-84.539, 112.046, -6.0834, -6.0834
-84.5694, 112.087, -6.08341, -6.08341
-84.5998, 112.128, -6.08343, -6.08343
-84.6302, 112.168, -6.08345, -6.08345
-84.6607, 112.209, -6.08346, -6.08346
-84.6911, 112.249, -6.08348, -6.08348
-84.7215, 112.29, -6.08349, -6.08349
-84.7519, 112.331, -6.08351, -6.08351
-84.7823, 112.371, -6.08352, -6.08352
-84.8128, 112.412, -6.08354, -6.08354
-84.8432, 112.452, -6.08355, -6.08355
-84.8736, 112.493, -6.08357, -6.08357
-84.904, 112.534, -6.08358, -6.08358
-84.9344, 112.574, -6.0836, -6.0836
-84.9649, 112.615, -6.08361, -6.08361
-84.9953, 112.655, -6.08363, -6.08363
-85.0257, 112.696, -6.08364, -6.08364
-85.0561, 112.737, -6.08366, -6.08366
-85.0865, 112.777, -6.08367, -6.08367
-85.1169, 112.818, -6.08369, -6.08369
-85.1474, 112.858, -6.0837, -6.0837
-85.1778, 112.899, -6.08372, -6.08372
-85.2082, 112.94, -6.08373, -6.08373
-85.2386, 112.98, -6.08375, -6.08375
-85.269, 113.021, -6.08377, -6.08377
-85.2995, 113.061, -6.08378, -6.08378
-85.3299, 113.102, -6.0838, -6.0838
-85.3603, 113.143, -6.08381, -6.08381
-85.3907, 113.183, -6.08383, -6.08383
-85.4211, 113.224, -6.08384, -6.08384
-85.4515, 113.265, -6.08385, -6.08385
-85.482, 113.305, -6.08387, -6.08387
-85.5124, 113.346, -6.08388, -6.08388
-85.5428, 113.386, -6.0839, -6.0839
-85.5732, 113.427, -6.08391, -6.08391
-85.6036, 113.468, -6.08393, -6.08393
-85.6341, 113.508, -6.08394, -6.08394
-85.6645, 113.549, -6.08396, -6.08396
-85.6949, 113.589, -6.08397, -6.08397
-85.7253, 113.63, -6.08399, -6.08399
-85.7557, 113.671, -6.084, -6.084
-85.7861, 113.711, -6.08402, -6.08402
-85.8166, 113.752, -6.08403, -6.08403
-85.847, 113.792, -6.08405, -6.08405
-85.8774, 113.833, -6.08406, -6.08406
-85.9078, 113.874, -6.08408, -6.08408
-85.9382, 113.914, -6.08409, -6.08409
-85.9687, 113.955, -6.08411, -6.08411
-85.9991, 113.995, -6.08412, -6.08412
-86.0295, 114.036, -6.08414, -6.08414
-86.0599, 114.077, -6.08415, -6.08415
-86.0903, 114.117, -6.08417, -6.08417
-86.1208, 114.158, -6.08418, -6.08418
-86.1512, 114.198, -6.08419, -6.08419
-86.1816, 114.239, -6.08421, -6.08421
-86.212, 114.28, -6.08422, -6.08422
-86.2424, 114.32, -6.08424, -6.08424
-86.2728, 114.361, -6.08425, -6.08425
-86.3033, 114.401, -6.08427, -6.08427
-86.3337, 114.442, -6.08428, -6.08428
-86.3641, 114.483, -6.0843, -6.0843
-86.3945, 114.523, -6.08431, -6.08431
