x, y, vx, vy
99.2564, 77.4367, 8.05398, 8.05398
99.2967, 77.4666, 8.054, 8.054
99.337, 77.4965, 8.05403, 8.05403
99.3772, 77.5264, 8.05405, 8.05405
99.4175, 77.5563, 8.05408, 8.05408
99.4578, 77.5862, 8.0541, 8.0541
99.498, 77.6162, 8.05412, 8.05412
99.5383, 77.6461, 8.05415, 8.05415
99.5786, 77.676, 8.05417, 8.05417
99.6188, 77.7059, 8.0542, 8.0542
99.6591, 77.7358, 8.05422, 8.05422
99.6994, 77.7657, 8.05425, 8.05425
99.7396, 77.7956, 8.05427, 8.05427
99.7799, 77.8256, 8.0543, 8.0543
99.8202, 77.8555, 8.05432, 8.05432
99.8605, 77.8854, 8.05435, 8.05435
99.9007, 77.9153, 8.05437, 8.05437
99.941, 77.9452, 8.0544, 8.0544
99.9813, 77.9751, 8.05442, 8.05442
100.022, 78.0051, 8.05445, 8.05445
100.062, 78.035, 8.05447, 8.05447
100.102, 78.0649, 8.0545, 8.0545
100.142, 78.0948, 8.05452, 8.05452
100.183, 78.1247, 8.05455, 8.05455
100.223, 78.1546, 8.05457, 8.05457
100.263, 78.1845, 8.0546, 8.0546
100.303, 78.2145, 8.05462, 8.05462
100.344, 78.2444, 8.05465, 8.05465
100.384, 78.2743, 8.05467, 8.05467
100.424, 78.3042, 8.0547, 8.0547
100.465, 78.3341, 8.05472, 8.05472
100.505, 78.364, 8.05474, 8.05474
100.545, 78.394, 8.05477, 8.05477
100.585, 78.4239, 8.05479, 8.05479
100.626, 78.4538, 8.05481, 8.05481
100.666, 78.4837, 8.05484, 8.05484
100.706, 78.5137, 8.05486, 8.05486
100.747, 78.5436, 8.05489, 8.05489
100.787, 78.5735, 8.05491, 8.05491
100.827, 78.6034, 8.05493, 8.05493
100.867, 78.6333, 8.05496, 8.05496
100.908, 78.6633, 8.05498, 8.05498
100.948, 78.6932, 8.05501, 8.05501
100.988, 78.7231, 8.05503, 8.05503
101.028, 78.753, 8.05505, 8.05505
101.069, 78.783, 8.05508, 8.05508
101.109, 78.8129, 8.0551, 8.0551
101.149, 78.8428, 8.05512, 8.05512
101.19, 78.8727, 8.05515, 8.05515
